Anno,Quartiere,NIL,Uomini,Donne,Totale,Minori,Stranieri,Famiglie,Famiglie unipersonali,80 e più soli,Nati,Morti,Emigrati,Immigrati,80 e più,65 e più,Scuola dell'infanzia (numero),Scuola primaria (numero),Scuola secondaria di primo grado (numero),Area (metri quadrati),fermate linee superficie,fermate metro,piste ciclabili (m)
2012,Scalo Romana,36,5952,5434,11386,1633,3763,5636,2700,235,115,68,382,664,465,1968,0,1,0,1736727 .98,26,0,2000
2012,Selinunte,57,12697,13683,26380,4030,8775,13570,6765,1116,196,330,741,942,2077,6013,2,1,1,984925 .54,47,0,0
2012,Stadera,42,14699,15435,30134,4646,5818,15837,7683,1085,285,272,900,1163,2106,6791,9,5,3,3232237 .35,47,1,2600
2012,Stephenson,75,32,24,56,4,12,27,12,1,0,0,3,0,2,13,0,0,0,560097 .89,0,0,0
2012,Tibaldi,43,5668,6232,11900,1494,2074,6276,3155,538,91,107,360,493,967,2953,2,1,1,786214 .31,22,0,0
2012,Ticinese,6,9440,10733,20173,2735,2586,10114,4767,617,158,188,644,818,1249,4320,8,3,2,1255064 .75,37,0,184
2012,Tortona,50,6869,8306,15175,2319,1418,7350,3044,566,121,159,419,448,1163,3724,4,2,0,996786 .39,23,1,730
2012,Tre Torri,59,615,731,1346,244,165,631,260,59,14,10,39,43,112,319,0,0,0,513316 .34,14,0,780
2012,Trenno,64,2152,2078,4230,552,300,1989,785,96,20,38,220,166,200,1015,2,0,0,489710 .56,13,0,225
2012,Triulzo Superiore,32,908,600,1508,243,1042,823,511,15,16,8,67,136,29,110,0,0,0,1395022 .03,14,1,0
2012,Umbria - Molise,28,10724,12020,22744,3169,4664,11329,5218,915,208,229,597,733,1837,5414,3,1,1,1192396 .73,43,1,2910
2012,Viale Monza,16,13652,14279,27931,4149,6394,14105,6501,805,218,222,843,1133,1637,6143,9,6,2,3005623 .49,64,4,0
2012,Vigentina,5,6498,7426,13924,2184,1758,6557,2698,499,103,125,343,516,1124,3375,4,3,2,1135239 .32,39,0,0
2012,Villapizzone,71,19799,20545,40344,6339,12389,19909,9009,1471,412,468,1075,1590,2941,8447,11,8,3,3427070 .6,84,0,902
2012,Washington,51,11981,14872,26853,4337,3032,13577,6227,1099,235,263,808,979,2201,6573,4,3,3,1306450 .76,59,0,2440
2012,XXII Marzo,26,14343,17019,31362,4679,3368,15502,6918,1141,283,321,909,857,2354,7604,5,3,3,1637499 .71,68,0,1140
2012,N.D.,,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
2013,Adriano,17,7912,7608,15520,2998,3137,7008,2792,261,182,71,517,730,553,2341,4,1,0,2431560 .11,34,0,1360
2013,Affori,80,12043,11956,23999,3973,7019,11592,4898,632,230,191,956,1067,1321,4724,5,3,2,2070893 .65,21,2,1550
2013,Baggio,55,13911,15384,29295,4508,5061,14650,6543,1027,229,295,1201,1025,2184,7764,7,3,2,3478599 .96,55,0,0
2013,Bande Nere,52,19764,23672,43436,6032,6678,22044,10009,2170,317,614,1601,1518,4576,12543,15,7,7,2663880 .93,73,3,0
2013,Barona,46,7962,9012,16974,2323,2137,7898,3078,627,87,243,460,381,1419,5247,3,3,1,2006324 .59,59,0,1240
2013,Bicocca,15,3840,3723,7563,1316,1266,3562,1511,134,71,38,336,507,295,1187,0,0,0,1534521 .13,39,3,3070
2013,Bovisa,77,6669,6325,12994,1926,4637,7017,3816,438,140,89,705,768,775,2347,4,2,1,1913132 .63,27,1,3470
2013,Bovisasca,81,3439,3824,7263,1097,978,3317,1228,237,45,112,234,176,620,1955,3,1,1,1576826 .44,23,0,0
2013,Brera,2,8158,9693,17851,2795,2611,8907,4034,602,140,175,921,798,1217,4139,6,6,5,1637395 .23,63,4,1354
2013,Bruzzano,83,6168,6396,12564,2012,2311,6005,2362,331,114,101,430,420,734,2885,3,2,1,1667691 .29,21,1,0
2013,Buenos Aires - Venezia,21,28699,32818,61517,9120,8401,30475,13490,2082,516,569,2510,2450,4309,14038,10,5,4,2877542 .27,119,5,1220
2013,Cantalupa,47,238,229,467,77,71,229,103,3,7,2,25,12,5,80,0,0,0,926716 .81,2,0,1460
2013,Cascina Triulza - Expo,73,441,71,512,13,66,27,13,0,1,3,62,151,0,18,0,0,0,1729126 .9,1,0,2204
2013,Centrale,10,8924,8669,17593,2455,4356,8549,3800,509,128,149,965,990,1107,3606,3,3,3,1556077 .52,65,5,878
2013,Chiaravalle,34,579,539,1118,147,152,529,221,23,4,11,36,28,48,220,1,0,0,311640 .12,4,0,0
2013,Città Studi,22,16756,19707,36463,4895,5919,18381,8385,1593,257,395,1410,1389,3229,9383,7,8,5,2207487 .44,88,2,564
